entrezgene_id	Y100l2fc	PM100l2fc
57147	-1.669344206	-1.347843015
55732	-1.470607005	-1.306856377
2268	0.797007829	0.740757189
2519	1.014764611	1.627026661
2729	-1.876321237	-2.880512629
4800	-1.698876019	-2.051391036
57185	0.704248828	0.657824609
572	1.30959915	0.990229989
51056	0.885923135	0.875433412
9957	-5.993007941	-2.5594975
26	0.641342182	0.303063759
3927	-0.528942861	-0.829799571
29916	-0.820679851	-0.320972168
55365	1.23805224	1.837185982
4074	0.65767132	0.571324779
79007	1.277293492	0.149075425
57679	-1.412231938	-1.262986728
843	-0.947100733	-1.371869414
8837	-1.207800734	-1.0207545
55471	-0.538910181	-1.11398314
10181	-1.431868585	-2.049321538
381	1.091737661	0.985256281
26073	0.608345147	0.315745143
23129	0.468505683	0.737710888
204	0.923988195	1.021878143
952	0.899509023	0.755521043
2288	0.819557976	1.162367809
23028	-0.561301833	-1.003571138
84254	-0.795520946	0.079246819
4706	0.960081971	1.007564706
5166	-1.643403772	-0.422714812
51364	1.180278365	2.064440488
7982	0.597340474	0.626097011
996	-1.134083399	-1.153967587
1856	-0.96944471	-0.849200768
64063	1.163592525	1.468893634
8935	1.112167607	1.512177153
55013	0.65288825	1.35822682
5439	0.808180837	1.071015363
56919	-1.61790507	-2.181607338
57019	-0.498637404	-0.812558653
56928	1.14687196	1.506966094
80256	-2.265391299	-2.987789934
51226	1.239564384	2.231964173
1387	-3.258733579	-2.989523602
9256	3.448762855	1.250048155
55904	-2.934066334	-3.54282447
57414	0.853856008	1.326186678
25998	-1.195512797	-0.864240814
23077	-0.921895319	-1.080988865
26224	-2.664271127	-2.148891918
3683	1.179614523	2.034745778
5164	0.396017584	0.76777057
3675	0.91874218	1.527972109
51573	1.480493348	1.943561717
55049	1.289768896	1.514577278
9020	-3.191063912	-4.29660189
54972	0.606042774	1.079597544
163	0.719923037	1.159042104
10127	-1.205127508	-2.079452232
64847	1.040659525	1.291509347
8913	-0.231539311	-1.403797876
4293	-2.839940262	-3.307719037
5898	-1.283140315	-1.111669629
80853	-1.544753374	-1.240182608
221	0.69777211	1.120647128
55001	-2.679642967	-3.322653802
9855	-0.97281725	-1.045176098
79017	1.301229186	1.462954227
10926	-1.27452939	-1.03078376
6915	-0.127129883	-1.1950846
